# you get 2 lines to write a comment about this file. exactly 2.
# second line of comment
num classes=41
feature dim=100
partition=k-fold, 2
---
0,Brown Creeper
1,Pacific Wren
2,Pacific-slope Flycatcher
3,Red-breasted Nuthatch
4,Dark-eyed Junco
5,Olive-sided Flycatcher
6,Hermit Thrush
7,Chestnut-backed Chickadee
8,Varied Thrush
9,Hermit Warbler
10,Swainson's Thrush
11,Hammond's Flycatcher
12,Western Tanager
13,Black-headed Grosbeak
14,Golden Crowned Kinglet
15,Warbling Vireo
16,Yellow-rumped Warbler
17,MacGillivray's Warbler
18,Stellar's Jay
19,Frog species
20,Common Nighthawk
21,Wind
22,Stream Noise
23,Airplane
24,Rain
25,Creature Walking
26,Unidentified Bird
27,Gray Jay
28,Pileated Woodpecker
29,Band-tailed Pigeon
30,Red-breasted Sapsucker
31,Osprey
32,Douglas Squirrel
33,Evening Groskbeak
34,Northern Pygmy-Owl
35,Black-throated Gray Warbler
36,American Robin
37,Sooty Grouse
38,Person Talking
39,Chipmunk
40,Empty Segment
***
index;partition;labelset;featurevector
230;0;;0.052632,0.000000,0.000000,0.000000,0.052632,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.000000,0.000000,0.052632,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105263,0.000000,0.052632,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000
231;0;10,15,25;0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.055556,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.027778,0.027778,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.055556,0.027778,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.027778,0.027778,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.027778,0.000000,0.027778,0.000000,0.000000
232;0;7;0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.043478,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.043478,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043478,0.000000,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.086957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086957,0.000000,0.043478,0.000000,0.000000,0.043478,0.000000,0.000000,0.086957,0.000000,0.000000,0.043478,0.000000,0.043478,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000
233;0;28;0.000000,0.000000,0.000000,0.022222,0.000000,0.000000,0.000000,0.022222,0.022222,0.022222,0.022222,0.000000,0.022222,0.000000,0.000000,0.022222,0.000000,0.000000,0.022222,0.022222,0.000000,0.022222,0.000000,0.022222,0.022222,0.000000,0.000000,0.066667,0.000000,0.044444,0.000000,0.000000,0.000000,0.022222,0.022222,0.022222,0.000000,0.000000,0.000000,0.000000,0.000000,0.022222,0.022222,0.022222,0.022222,0.000000,0.066667,0.000000,0.022222,0.022222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022222,0.000000,0.000000,0.000000,0.000000,0.044444,0.000000,0.000000,0.000000,0.022222,0.000000,0.022222,0.022222,0.022222,0.044444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044444,0.000000,0.022222,0.000000,0.000000,0.000000,0.044444,0.000000,0.000000,0.022222,0.000000,0.000000,0.000000,0.022222,0.000000,0.000000,0.000000
234;0;;0.000000,0.035088,0.035088,0.000000,0.000000,0.017544,0.017544,0.017544,0.017544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017544,0.017544,0.017544,0.017544,0.000000,0.035088,0.000000,0.000000,0.017544,0.035088,0.017544,0.017544,0.000000,0.000000,0.000000,0.017544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035088,0.000000,0.017544,0.000000,0.000000,0.000000,0.035088,0.035088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035088,0.000000,0.017544,0.017544,0.000000,0.000000,0.000000,0.000000,0.017544,0.000000,0.000000,0.017544,0.035088,0.000000,0.017544,0.000000,0.000000,0.000000,0.035088,0.017544,0.000000,0.017544,0.017544,0.000000,0.035088,0.000000,0.017544,0.000000,0.017544,0.035088,0.000000,0.017544,0.017544,0.017544,0.017544,0.035088,0.000000,0.017544,0.017544,0.000000,0.000000,0.000000,0.035088
235;0;4;0.000000,0.000000,0.058824,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.117647,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.058824,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.058824,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
236;0;2,13;0.026316,0.052632,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.078947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.026316,0.026316,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.052632,0.000000,0.000000,0.052632,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632,0.026316,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,0.000000
237;0;2,3,6,10;0.000000,0.014925,0.029851,0.014925,0.000000,0.014925,0.029851,0.014925,0.014925,0.000000,0.000000,0.000000,0.044776,0.000000,0.044776,0.014925,0.000000,0.014925,0.014925,0.029851,0.000000,0.000000,0.044776,0.000000,0.000000,0.000000,0.000000,0.000000,0.014925,0.000000,0.000000,0.014925,0.000000,0.044776,0.000000,0.014925,0.000000,0.000000,0.000000,0.044776,0.014925,0.059701,0.000000,0.000000,0.029851,0.000000,0.014925,0.000000,0.014925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014925,0.000000,0.000000,0.014925,0.044776,0.000000,0.029851,0.014925,0.000000,0.014925,0.000000,0.029851,0.029851,0.000000,0.000000,0.014925,0.000000,0.014925,0.000000,0.000000,0.000000,0.000000,0.000000,0.014925,0.014925,0.000000,0.000000,0.014925,0.044776,0.014925,0.000000,0.000000,0.014925,0.000000,0.014925,0.014925,0.014925,0.000000,0.000000,0.000000
238;0;2,8,13,23;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.037037,0.037037,0.000000,0.000000,0.000000,0.000000,0.074074,0.037037,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.074074,0.000000,0.037037,0.000000,0.037037,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074074,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.111111,0.000000,0.000000,0.037037,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.037037,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000
239;0;2,27;0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.096774,0.000000,0.032258,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.064516,0.000000,0.032258,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.064516,0.000000,0.000000,0.000000,0.000000,0.000000,0.064516,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.064516,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.064516,0.000000,0.032258,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.032258,0.000000,0.000000,0.000000,0.032258
240;0;2,9,11,23;0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000
241;0;25;0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.036364,0.036364,0.018182,0.018182,0.018182,0.000000,0.018182,0.018182,0.018182,0.000000,0.000000,0.000000,0.000000,0.036364,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.018182,0.036364,0.018182,0.000000,0.018182,0.036364,0.018182,0.018182,0.000000,0.000000,0.000000,0.000000,0.000000,0.018182,0.018182,0.000000,0.054545,0.036364,0.000000,0.000000,0.000000,0.018182,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.036364,0.000000,0.000000,0.000000,0.000000,0.018182,0.018182,0.000000,0.000000,0.018182,0.018182,0.018182,0.000000,0.000000,0.054545,0.018182,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.036364,0.018182,0.000000,0.018182,0.018182,0.000000,0.000000,0.018182,0.000000,0.018182,0.018182,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.018182
242;0;3,22;0.000000,0.000000,0.000000,0.045455,0.022727,0.045455,0.000000,0.022727,0.022727,0.022727,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.045455,0.022727,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.068182,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.022727,0.000000,0.000000,0.022727,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.022727,0.022727,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.022727,0.022727,0.000000,0.000000,0.000000,0.022727,0.000000,0.022727,0.000000,0.045455,0.000000,0.022727,0.022727,0.045455,0.000000,0.022727,0.000000,0.022727,0.022727,0.000000,0.000000,0.000000,0.000000
243;0;22;0.000000,0.021277,0.000000,0.000000,0.000000,0.000000,0.000000,0.042553,0.000000,0.000000,0.021277,0.000000,0.000000,0.000000,0.000000,0.042553,0.085106,0.021277,0.042553,0.042553,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000,0.042553,0.000000,0.021277,0.021277,0.000000,0.000000,0.021277,0.042553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021277,0.042553,0.021277,0.021277,0.063830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021277,0.000000,0.021277,0.042553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021277,0.000000,0.042553,0.063830,0.000000,0.000000,0.000000,0.000000,0.021277,0.000000,0.021277,0.000000,0.000000,0.000000,0.000000,0.000000,0.042553,0.000000,0.021277,0.000000,0.000000,0.000000,0.000000,0.021277,0.000000,0.000000
244;0;;0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.062500,0.062500,0.031250,0.000000,0.000000,0.031250,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.125000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093750,0.031250,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.093750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000,0.000000,0.031250,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.031250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031250,0.000000
245;0;24;0.000000,0.018519,0.018519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018519,0.000000,0.000000,0.018519,0.000000,0.037037,0.018519,0.000000,0.000000,0.000000,0.000000,0.018519,0.000000,0.000000,0.018519,0.055556,0.000000,0.018519,0.037037,0.018519,0.018519,0.000000,0.018519,0.000000,0.000000,0.000000,0.000000,0.018519,0.000000,0.018519,0.037037,0.018519,0.000000,0.018519,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.018519,0.000000,0.000000,0.000000,0.000000,0.018519,0.000000,0.000000,0.018519,0.018519,0.018519,0.018519,0.000000,0.018519,0.000000,0.018519,0.018519,0.018519,0.037037,0.000000,0.037037,0.018519,0.018519,0.018519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018519,0.037037,0.000000,0.000000,0.018519,0.000000,0.000000,0.000000,0.018519,0.000000,0.000000,0.000000,0.018519,0.037037,0.018519,0.000000,0.037037,0.000000
246;0;8,9,25;0.076923,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.076923,0.000000,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.076923,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.038462,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.038462,0.000000,0.000000
247;0;1,9,15,25;0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.029412,0.000000,0.000000,0.000000,0.088235,0.000000,0.000000,0.117647,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.029412,0.029412,0.029412,0.000000,0.000000,0.000000,0.000000,0.058824,0.029412,0.000000,0.000000,0.029412,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.000000,0.000000,0.029412,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412
248;0;;0.055556,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.055556,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.055556,0.000000,0.000000,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
249;0;;0.018182,0.000000,0.018182,0.018182,0.000000,0.018182,0.018182,0.036364,0.000000,0.000000,0.036364,0.018182,0.036364,0.000000,0.018182,0.036364,0.000000,0.000000,0.000000,0.054545,0.000000,0.000000,0.000000,0.018182,0.018182,0.000000,0.000000,0.000000,0.018182,0.018182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036364,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.036364,0.000000,0.018182,0.000000,0.018182,0.036364,0.000000,0.018182,0.018182,0.018182,0.000000,0.054545,0.000000,0.000000,0.018182,0.000000,0.000000,0.036364,0.000000,0.036364,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.018182,0.000000,0.054545,0.036364,0.000000,0.036364,0.000000,0.018182,0.000000,0.000000,0.000000,0.000000,0.000000
250;0;;0.045455,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.045455,0.000000,0.000000,0.068182,0.000000,0.000000,0.022727,0.000000,0.068182,0.000000,0.022727,0.022727,0.000000,0.022727,0.000000,0.022727,0.000000,0.045455,0.022727,0.000000,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.022727,0.022727,0.000000,0.022727,0.000000,0.000000,0.022727,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.022727,0.045455,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.022727,0.022727,0.022727,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.000000,0.022727,0.000000,0.000000,0.045455,0.000000,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000
251;0;;0.025000,0.025000,0.000000,0.000000,0.000000,0.025000,0.025000,0.000000,0.000000,0.050000,0.025000,0.025000,0.000000,0.000000,0.000000,0.000000,0.025000,0.025000,0.000000,0.000000,0.025000,0.000000,0.025000,0.000000,0.000000,0.000000,0.025000,0.025000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.025000,0.025000,0.025000,0.000000,0.000000,0.000000,0.025000,0.025000,0.025000,0.000000,0.025000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.025000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.050000,0.050000,0.025000,0.025000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000
252;0;;0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.037037,0.037037,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074074,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.074074,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.111111,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.074074,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.037037,0.000000,0.037037,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037037,0.000000,0.000000
253;0;2,15,27;0.000000,0.020833,0.000000,0.041667,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.020833,0.000000,0.020833,0.000000,0.000000,0.041667,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.020833,0.020833,0.000000,0.020833,0.041667,0.020833,0.041667,0.020833,0.000000,0.000000,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.020833,0.000000,0.000000,0.041667,0.000000,0.020833,0.000000,0.000000,0.041667,0.041667,0.000000,0.083333,0.000000,0.020833,0.020833,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.000000,0.000000,0.000000,0.020833,0.020833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.020833,0.000000,0.000000,0.020833,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000
